FULL NAME,TEAM,POS,AGE,GP,MPG,MIN,USG,TO,FTA,FT%,2PA,2P%,3PA,3P%,eFG,TS% ,PPG,RPG,TRB% ,APG,AST%,SPG,BPG,TOPG,VI,ORTG ,DRTG 
Reggie Bullock,Dal,G-F,31.17,13,39.3,81.9,10.9,6,13,0.923,14,0.571,90,0.389,0.582,0.606,10.2,5.1,7.5,1.4,5.2,1.46,0.08,0.54,4.3,121.8,105.4
Dorian Finney-Smith,Dal,F,29.03,13,37.8,78.8,12.8,7.6,16,0.875,32,0.5,83,0.422,0.596,0.619,11.6,5.4,8.3,2,8,1.15,0.38,0.77,5.3,127.2,104.7
Luka Doncic,Dal,F-G,23.21,10,36.1,75.3,40.6,13,78,0.769,139,0.561,95,0.347,0.545,0.587,31.5,10.1,16.2,6.6,40,1.9,0.4,4,14.2,111.3,98
Jalen Brunson,Dal,G,25.71,13,35.4,73.8,29.5,5.3,65,0.846,189,0.508,53,0.321,0.502,0.551,22.9,4.6,7.6,3.5,18.8,1,0,1.15,8.1,113.9,107.6
Spencer Dinwiddie,Dal,G,29.11,13,28,58.3,23.6,10.6,41,0.78,78,0.397,65,0.4,0.49,0.534,13.2,2.8,5.9,3.5,20.8,0.92,0.23,1.46,7.2,109.4,104.1
Maxi Kleber,Dal,F,30.29,13,25.4,53,14.2,10.1,20,0.7,21,0.714,59,0.492,0.731,0.738,10.1,4.5,10.2,1.1,6.7,0.15,0.69,0.77,5.8,134.6,102.7
Dwight Powell,Dal,F-C,30.82,13,15.4,32,11.2,19.2,18,0.611,28,0.679,2,0,0.633,0.646,3.8,2.8,10.8,0.3,3,0.15,0.46,0.69,3.8,116.7,94
Davis Bertans,Dal,F,29.51,13,11.2,23.3,14.3,4.6,11,0.818,0,0,37,0.432,0.649,0.681,4.4,1.2,6.4,0.3,4.2,0.31,0.15,0.15,4.2,133.2,98.6
Frank Ntilikina,Dal,G,23.8,7,10.8,22.4,11.6,38,1,1,2,0.5,9,0.333,0.5,0.524,1.7,1,5.4,0.9,11.2,0.86,0.14,1,4.3,79.3,91.8
Josh Green,Dal,G,21.49,12,8.6,18,12.6,0,8,0.25,4,0.5,20,0.25,0.396,0.382,1.8,0.8,5.6,0.6,9.7,0.42,0,0,4.4,93.2,96.8
