FULL NAME,TEAM,POS,AGE,GP,MPG,MIN,USG,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Ja Morant,Mem,G,22.77,9,37.5,78.1,30.9,12.6,87,0.747,134,0.478,50,0.34,0.486,0.549,27.1,8,11.3,9.8,44.3,2,0.44,3.56,13.7,115.8,104.5
Desmond Bane,Mem,G,23.89,12,35.6,74.2,18.3,8.4,35,0.857,71,0.465,88,0.489,0.613,0.645,18.8,3.7,5.4,2.3,9.7,1,0.67,1.33,6.1,125.4,109.6
Dillon Brooks,Mem,G-F,26.31,11,30.5,63.5,25.1,10.7,25,0.64,100,0.35,72,0.347,0.422,0.44,14.6,2.7,4.7,2.7,13.8,1,0.27,2,6.2,91.3,104.2
Jaren Jackson Jr.,Mem,F-C,22.67,12,27.7,57.6,24.1,8.2,53,0.755,84,0.381,72,0.375,0.465,0.516,15.4,6.7,12.7,0.9,5.1,0.75,2.5,1.33,6.5,108,96.1
Brandon Clarke,Mem,F,25.65,12,24.7,51.5,17.4,8.7,54,0.667,90,0.622,1,0,0.615,0.645,12.3,6.9,14.8,2,12.7,0.75,0.83,0.92,9,134.6,105
Tyus Jones,Mem,G,26.01,12,21.9,45.5,18.5,11,15,0.933,54,0.389,45,0.4,0.485,0.521,9.2,3.3,7.9,4.5,30.3,1.17,0.17,1.08,9.4,116.1,109.4
Kyle Anderson,Mem,F-G,28.65,12,18.4,38.3,12.8,14.5,18,0.611,39,0.667,12,0.25,0.598,0.611,6,4.3,12.4,1.8,13.7,0.92,0.67,0.83,7.8,119.9,100.5
De'Anthony Melton,Mem,G,23.97,10,17,35.4,19.5,17.3,4,0.75,21,0.476,44,0.25,0.408,0.419,5.6,3.1,9.6,1.5,12.5,1,0.5,1.4,7,86.2,106.7
Ziaire Williams,Mem,F,20.67,10,16.8,34.9,14.6,3.3,13,0.923,16,0.75,36,0.306,0.548,0.598,6.9,1.7,5.4,0.5,4.3,0.5,0,0.2,4.3,127.1,106.7
Steven Adams,Mem,C,28.82,7,16.2,33.8,10.8,13.4,11,0.545,21,0.429,0,0,0.429,0.464,3.4,6.4,20.9,2.1,17.6,0.14,0.14,0.57,8.8,120.1,100.4
Xavier Tillman,Mem,F,23.34,9,15.5,32.2,11.1,26.6,6,0.5,23,0.739,2,0.5,0.74,0.724,4.4,3.2,11,0.7,6.2,0.67,0.11,1.11,5.5,115.2,101.5
